,mnc,rating,reviews
629,Procter & Gamble,4.0,(1.6k)
630,Coronis Ajuba Solutions,3.9,(1.6k)
631,Belrise Industries,3.7,(1.6k)
632,Goldman Sachs,3.3,(1.6k)
633,Johnson & Johnson,3.9,(1.6k)
634,Arvind Group,4.0,(1.6k)
635,CMA CGM,4.0,(1.6k)
636,Krishna Maruti,3.8,(1.6k)
637,Wipro Enterprises Ltd,3.8,(1.6k)
638,Veritas Finance,4.2,(1.6k)
639,Dixon Technologies,3.9,(1.6k)
640,Chegg,4.1,(1.6k)
641,Urban Company,3.3,(1.6k)
642,Godrej Industries Group,3.9,(1.6k)
643,Teva Pharmaceuticals,3.9,(1.6k)
644,Marico,3.8,(1.6k)
645,Sanofi,4.0,(1.6k)
646,Satin Creditcare Network,3.9,(1.6k)
647,Welspun Living Limited,3.9,(1.6k)
648,mPokket,4.5,(1.6k)
649,Tata Play,4.0,(1.6k)
650,HERE Technologies,3.8,(1.6k)
651,Hero Motors Company,3.9,(1.6k)
652,Supreme Industries,4.0,(1.6k)
653,iOPEX Technologies,3.1,(1.6k)
